Date,Platform,Topic,Category,Package,CurrentStatus,RequiredAction
2026-01-05,Instagram,Compounding,Wealth Building,2026-01-05-01-compounding,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-05,YouTube,Compounding,Wealth Building,2026-01-05-01-compounding,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-06,Instagram,Rule of 72,Wealth Building,2026-01-06-02-rule-of-72,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-06,YouTube,Rule of 72,Wealth Building,2026-01-06-02-rule-of-72,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-07,Instagram,SIP,Wealth Building,2026-01-07-03-sip,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-07,YouTube,SIP,Wealth Building,2026-01-07-03-sip,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-08,Instagram,Inflation,Wealth Building,2026-01-08-04-inflation,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-08,YouTube,Inflation,Wealth Building,2026-01-08-04-inflation,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-09,Instagram,Financial Freedom,Wealth Building,2026-01-09-05-financial-freedom,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-09,YouTube,Financial Freedom,Wealth Building,2026-01-09-05-financial-freedom,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-10,Instagram,Equity,Stock Market Basics,2026-01-10-06-equity,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-10,YouTube,Equity,Stock Market Basics,2026-01-10-06-equity,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-11,Instagram,Market Capitalization,Stock Market Basics,2026-01-11-07-market-capitalization,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-11,YouTube,Market Capitalization,Stock Market Basics,2026-01-11-07-market-capitalization,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-12,Instagram,Dividend,Stock Market Basics,2026-01-12-08-dividend,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-12,YouTube,Dividend,Stock Market Basics,2026-01-12-08-dividend,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-13,Instagram,Bonus Shares,Stock Market Basics,2026-01-13-09-bonus-shares,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-13,YouTube,Bonus Shares,Stock Market Basics,2026-01-13-09-bonus-shares,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-14,Instagram,Stock Split,Stock Market Basics,2026-01-14-10-stock-split,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-14,YouTube,Stock Split,Stock Market Basics,2026-01-14-10-stock-split,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-15,Instagram,Intraday Trading,Trading Basics,2026-01-15-11-intraday-trading,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
